id,session,identifier,title,jurisdiction_id,media_type,url,note
ad42c5f6-07aa-412b-a6c4-60d1ce953c3d,87,HB 320,Relating to the women's health advisory committee.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00320I.HTM,Introduced
ad42c5f6-07aa-412b-a6c4-60d1ce953c3d,87,HB 320,Relating to the women's health advisory committee.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00320I.PDF,Introduced
47759164-7162-4c54-ae03-47c1238e2a21,87,HB 749,Relating to the use by a political subdivision of public funds for lobbying activities.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00749I.HTM,Introduced
47759164-7162-4c54-ae03-47c1238e2a21,87,HB 749,Relating to the use by a political subdivision of public funds for lobbying activities.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00749I.PDF,Introduced
578c0202-6393-42c6-b4f0-f53b3ed3f2fc,87,SB 542,"Relating to exempting the intrastate manufacture of a firearm, a firearm accessory, or ammunition from federal regulation.",ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB00542I.HTM,Introduced
578c0202-6393-42c6-b4f0-f53b3ed3f2fc,87,SB 542,"Relating to exempting the intrastate manufacture of a firearm, a firearm accessory, or ammunition from federal regulation.",ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00542I.PDF,Introduced
bd851004-b9f1-410f-883f-b0b94eb3df36,87,HB 1813,Relating to the required vote by a presidential elector and related procedures.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01813I.HTM,Introduced
bd851004-b9f1-410f-883f-b0b94eb3df36,87,HB 1813,Relating to the required vote by a presidential elector and related procedures.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01813I.PDF,Introduced
096bf875-00bb-4af7-bad4-dd9578ccae92,87,SB 555,Relating to the unlawful possession of a firearm by persons convicted of offenses committed because of bias or prejudice or of certain felony offenses; creating a criminal offense.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB00555I.HTM,Introduced
096bf875-00bb-4af7-bad4-dd9578ccae92,87,SB 555,Relating to the unlawful possession of a firearm by persons convicted of offenses committed because of bias or prejudice or of certain felony offenses; creating a criminal offense.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00555I.PDF,Introduced
